,enm_id,rp_shape,column_length,column_width,porosity,darcy_velocity,influent_concentration_enm,influent_pore_volumes,ph,electrolyte_concentration,electrolyte_id,enm_density,enm_isoelectric_point,enm_zeta_potential,collector_zeta_potential,enm_diameter,collector_diameter,collector_coating,concentration_nom,nom_id,hamaker_constant_combined
0,C60,HE,0.1,0.02,0.42,9.26e-05,0.01,3.0,5.0,0.1,NaCl,1730,3.0,-24.4,-52.34,1.36e-07,0.000509,None,0.0,None,1e-20
1,C60,HE,0.1,0.02,0.42,9.26e-05,0.01,3.0,5.0,1.0,NaCl,1730,3.0,-22.0,-45.46,1.88e-07,0.000509,None,0.0,None,1e-20
2,C60,HE,0.1,0.02,0.42,9.26e-05,0.01,3.0,5.0,10.0,NaCl,1730,3.0,-18.7,-42.87,3.32e-07,0.000509,None,0.0,None,1e-20
3,C60,IRwD,0.1,0.02,0.42,9.26e-05,0.01,3.0,7.0,0.01,NaCl,1730,3.0,-37.5,-67.58,1.84e-07,0.000509,None,0.0,None,1e-20
4,C60,HE,0.1,0.02,0.42,9.26e-05,0.01,3.0,7.0,1.0,NaCl,1730,3.0,-36.9,-62.21,1.94e-07,0.000509,None,0.0,None,1e-20
5,C60,HE,0.1,0.02,0.42,9.26e-05,0.01,3.0,7.0,10.0,NaCl,1730,3.0,-28.8,-72.87,5.05e-07,0.000509,None,0.0,None,1e-20
6,TiO2,LD,0.1,0.02,0.42,9.26e-05,0.05,3.0,5.0,0.01,NaCl,4510,6.2,23.7,-52.34,4.53e-07,0.000509,None,0.0,None,1e-20
7,TiO2,HE,0.1,0.02,0.42,9.26e-05,0.05,3.0,5.0,1.0,NaCl,4510,6.2,23.1,-45.46,9.41e-07,0.000509,None,0.0,None,1e-20
8,TiO2,LD,0.1,0.02,0.42,9.26e-05,0.05,3.0,5.0,10.0,NaCl,4510,6.2,21.6,-42.87,1.08e-06,0.000509,None,0.0,None,1e-20
9,TiO2,HE,0.1,0.02,0.42,9.26e-05,0.05,3.0,7.0,0.01,NaCl,4510,6.2,-22.71,-67.58,4.65e-07,0.000509,None,0.0,None,1e-20
10,TiO2,HE,0.1,0.02,0.42,9.26e-05,0.05,3.0,7.0,1.0,NaCl,4510,6.2,-20.8,-62.21,9.56e-07,0.000509,None,0.0,None,1e-20
11,TiO2,HE,0.1,0.02,0.42,9.26e-05,0.05,3.0,7.0,10.0,NaCl,4510,6.2,-15.7,-58.78,1.15e-06,0.000509,None,0.0,None,1e-20
12,TiO2,IRwD,0.15,0.025,0.37,5.1e-05,0.02,4.0,6.0,0.003,NaCl,4510,5.9,-47.53,-55.4,8.45e-08,0.000275,None,0.0,None,4.5e-20
