enm_id,column_length,column_width,porosity,darcy_velocity,influent_concentration_enm,influent_pore_volumes,ph,electrolyte_concentration,electrolyte_id,enm_density,enm_isoelectric_point,enm_zeta_potential,collector_zeta_potential,enm_diameter,collector_diameter,collector_coating,concentration_nom,nom_id,hamaker_constant_combined,enm_relative_permittivity,valence,electrolyte_rel_conc,ionic_strength,debye_length,n_dl,n_asp,n_att,n_g,n_Pe,n_Lo,n_por,m_inf,n_z1,n_z2,n_asp_c
C60,0.1,0.02,0.42,9.26e-05,10.0,3.0,5.0,0.1,NaCl,1730,3.0,-24.4,-52.34,1.36e-07,0.000509,None,0.0,None,1e-20,4.4,"[1, -1]","[1, 1]",0.1,7.20202400726e-09,18.8835804856,0.000267190569745,0.692951039143,89248.5989229,13120.7236024,0.40488362522,33.6391419474,0.791681348705,9.80393402552,0.765912418591,5.0
C60,0.1,0.02,0.42,9.26e-05,10.0,3.0,5.0,1.0,NaCl,1730,3.0,-22.0,-45.46,1.88e-07,0.000509,None,0.0,None,1e-20,4.4,"[1, -1]","[1, 1]",1.0,2.27747996262e-09,82.5473782804,0.000369351669941,0.362630783726,170545.1168,18137.4708621,0.40488362522,33.6391419474,0.791681348705,10.3654753317,0.784219753411,5.0
C60,0.1,0.02,0.42,9.26e-05,10.0,3.0,5.0,10.0,NaCl,1730,3.0,-18.7,-42.87,3.32e-07,0.000509,None,0.0,None,1e-20,4.4,"[1, -1]","[1, 1]",10.0,7.20202400726e-10,460.981523618,0.000652259332024,0.11627977954,531862.974031,32030.0017352,0.40488362522,33.6391419474,0.791681348705,15.6992363807,0.73294550115,5.0
C60,0.1,0.02,0.42,9.26e-05,10.0,3.0,7.0,0.01,NaCl,1730,3.0,-37.5,-67.58,1.84e-07,0.000509,None,0.0,None,1e-20,4.4,"[1, -1]","[1, 1]",0.01,2.27747996262e-08,8.07910510829,0.000361493123772,0.378568715146,163365.082457,17751.5672267,0.40488362522,33.6391419474,0.791681348705,23.758535023,0.848525031296,5.0
C60,0.1,0.02,0.42,9.26e-05,10.0,3.0,7.0,1.0,NaCl,1730,3.0,-36.9,-62.21,1.94e-07,0.000509,None,0.0,None,1e-20,4.4,"[1, -1]","[1, 1]",1.0,2.27747996262e-09,85.1818690766,0.000381139489194,0.340546881178,181604.685827,18716.3263151,0.40488362522,33.6391419474,0.791681348705,21.9397217433,0.87755474847,5.0
C60,0.1,0.02,0.42,9.26e-05,10.0,3.0,7.0,10.0,NaCl,1730,3.0,-28.8,-72.87,5.05e-07,0.000509,None,0.0,None,1e-20,4.4,"[1, -1]","[1, 1]",10.0,7.20202400726e-10,701.191775383,0.000992141453831,0.0502571215371,1230570.06598,48720.3339647,0.40488362522,33.6391419474,0.791681348705,67.0208282262,0.683659547607,5.0
TiO2,0.1,0.02,0.42,9.26e-05,50.0,3.0,5.0,0.01,NaCl,4510,6.2,23.7,-52.34,4.53e-07,0.000509,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",0.01,1.13873998131e-07,3.97808110223,0.000889980353635,0.0624574088856,4745878.64599,43703.5867049,0.40488362522,33.6391419474,0.791681348705,32.3260436882,-0.751527278728,5.0
TiO2,0.1,0.02,0.42,9.26e-05,50.0,3.0,5.0,1.0,NaCl,4510,6.2,23.1,-45.46,9.41e-07,0.000509,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,82.6351946402,0.00184872298625,0.0144744183331,20478562.6816,90783.8302193,0.40488362522,33.6391419474,0.791681348705,52.8916393211,-0.807720388139,5.0
TiO2,0.1,0.02,0.42,9.26e-05,50.0,3.0,5.0,10.0,NaCl,4510,6.2,21.6,-42.87,1.08e-06,0.000509,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,299.915690065,0.00212180746562,0.0109883594136,26975390.225,104193.981548,0.40488362522,33.6391419474,0.791681348705,53.7982415401,-0.803674054587,5.0
TiO2,0.1,0.02,0.42,9.26e-05,50.0,3.0,7.0,0.01,NaCl,4510,6.2,-22.71,-67.58,4.65e-07,0.000509,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",0.01,1.13873998131e-07,4.08346073408,0.000913555992141,0.0592753956295,5000646.22034,44861.297611,0.40488362522,33.6391419474,0.791681348705,51.0908419307,0.60389613954,5.0
TiO2,0.1,0.02,0.42,9.26e-05,50.0,3.0,7.0,1.0,NaCl,4510,6.2,-20.8,-62.21,9.56e-07,0.000509,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,83.9524400383,0.00187819253438,0.0140237636115,21136642.8675,92230.9688519,0.40488362522,33.6391419474,0.791681348705,88.9177437248,0.601464546611,5.0
TiO2,0.1,0.02,0.42,9.26e-05,50.0,3.0,7.0,10.0,NaCl,4510,6.2,-15.7,-58.78,1.15e-06,0.000509,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,319.354669976,0.00225933202358,0.00969135910775,30585522.6103,110947.295167,0.40488362522,33.6391419474,0.791681348705,92.0177977736,0.498622965814,5.0
TiO2,0.15,0.025,0.37,5.1e-05,20.0,4.0,6.0,0.003,NaCl,4510,5.9,-47.53,-55.4,8.45e-08,0.000275,None,0.0,None,4.5e-20,110.0,"[1, -1]","[1, 1]",0.003,2.07904524965e-07,0.406436560311,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,9.7326080448,0.988375775668,6.0
