influent_concentration_enm,concentration_nom,n_dl,n_asp,n_att,n_g,n_Pe,n_Lo,n_por,m_inf,n_z1,n_z2,n_asp_c,collector_coating=FeOOH,collector_coating=IronOxide,collector_coating=None,enm_id=Ag,enm_id=C60,enm_id=CeO2,enm_id=CuO,enm_id=Fe,enm_id=MWCNT,enm_id=QD,enm_id=TiO2,enm_id=ZnO,enm_id=nBiochar,enm_id=nHAP,nom_id=Alg,nom_id=Citric,nom_id=FA,nom_id=Formic,nom_id=HA,nom_id=None,nom_id=Oxalic,nom_id=SRHA,nom_id=TRIZMA
10.0,0.0,18.8835804856,0.000267190569745,0.692951039143,89248.5989229,13120.7236024,0.40488362522,33.6391419474,0.791681348705,9.80393402552,0.765912418591,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,82.5473782804,0.000369351669941,0.362630783726,170545.1168,18137.4708621,0.40488362522,33.6391419474,0.791681348705,10.3654753317,0.784219753411,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,460.981523618,0.000652259332024,0.11627977954,531862.974031,32030.0017352,0.40488362522,33.6391419474,0.791681348705,15.6992363807,0.73294550115,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,8.07910510829,0.000361493123772,0.378568715146,163365.082457,17751.5672267,0.40488362522,33.6391419474,0.791681348705,23.758535023,0.848525031296,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,85.1818690766,0.000381139489194,0.340546881178,181604.685827,18716.3263151,0.40488362522,33.6391419474,0.791681348705,21.9397217433,0.87755474847,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,701.191775383,0.000992141453831,0.0502571215371,1230570.06598,48720.3339647,0.40488362522,33.6391419474,0.791681348705,67.0208282262,0.683659547607,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,3.97808110223,0.000889980353635,0.0624574088856,4745878.64599,43703.5867049,0.40488362522,33.6391419474,0.791681348705,32.3260436882,-0.751527278728,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,82.6351946402,0.00184872298625,0.0144744183331,20478562.6816,90783.8302193,0.40488362522,33.6391419474,0.791681348705,52.8916393211,-0.807720388139,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,299.915690065,0.00212180746562,0.0109883594136,26975390.225,104193.981548,0.40488362522,33.6391419474,0.791681348705,53.7982415401,-0.803674054587,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,4.08346073408,0.000913555992141,0.0592753956295,5000646.22034,44861.297611,0.40488362522,33.6391419474,0.791681348705,51.0908419307,0.60389613954,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,83.9524400383,0.00187819253438,0.0140237636115,21136642.8675,92230.9688519,0.40488362522,33.6391419474,0.791681348705,88.9177437248,0.601464546611,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,319.354669976,0.00225933202358,0.00969135910775,30585522.6103,110947.295167,0.40488362522,33.6391419474,0.791681348705,92.0177977736,0.498622965814,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,0.406436560311,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,9.7326080448,0.988375775668,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,0.742048240925,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,8.54063400635,0.978441374623,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,2.34656257504,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,7.6074672638,0.91386818305,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,5.552980564,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,7.12866228619,0.872691955381,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,6.42632627474,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,6.82749373261,0.850614004783,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
